"player","team","pts","trb","ast","total_rank"
"Nikola Jokić","DEN","29.6","12.7","10.2","8"
"Giannis Antetokounmpo","MIL","30.4","11.9","6.5","30"
"Luka Dončić","DAL","28.1","8.3","7.8","43"
"Luka Dončić","LAL","28.2","8.1","7.5","50"
"Jayson Tatum","BOS","26.8","8.7","6","60"
"LeBron James","LAL","24.4","7.8","8.2","69"
"Domantas Sabonis","SAC","19.1","13.9","6","89"
"Cade Cunningham","DET","26.1","6.1","9.1","98"
"Zion Williamson","NOP","24.6","7.2","5.3","119"
"Paolo Banchero","ORL","25.9","7.5","4.8","120"
